gpi_ascat,percentage_match,lon,lat,soil_cat
820882.0,96.48493543758967,-8.368923,30.001425,mixed
820895.0,99.60204661739625,4.030144,30.001947,mixed
820916.0,99.35622317596567,-3.632901,30.00279,mixed
820971.0,99.08015768725362,-6.5599236,30.005001,mixed
821039.0,99.94646680942184,2.912121,30.007732,mixed
821060.0,99.36998854524627,-4.750924,30.008575,mixed
821115.0,99.66499162479062,-7.677947,30.010784,mixed
821128.0,99.93868792152054,4.7211204,30.011307,mixed
821149.0,99.4475138121547,-2.9419246,30.01215,mixed
821183.0,100.0,1.7940978,30.013515,mixed
821204.0,99.19786096256685,-5.8689475,30.01436,mixed
821259.0,94.74885844748859,-8.79597,30.01657,mixed
821272.0,99.94061757719714,3.6030972,30.017092,mixed
821348.0,99.48979591836735,-6.9869704,30.020144,mixed
821382.0,99.3719806763285,-2.2509482,30.021511,mixed
821416.0,99.79919678714859,2.485074,30.022877,mixed
821437.0,99.18341708542714,-5.177971,30.02372,mixed
821492.0,99.1778774289985,-8.104994,30.025928,mixed
821505.0,99.48186528497409,4.2940736,30.026451,mixed
821560.0,98.69674185463658,1.3670509,30.028662,mixed
821581.0,99.14417379855168,-6.2959943,30.029505,mixed
821636.0,91.02739726027397,-9.223017,30.031715,mixed
821649.0,99.89333333333333,3.1760504,30.032238,mixed
821670.0,98.9042675893887,-4.4869947,30.033081,mixed
821725.0,99.44482997918112,-7.414017,30.03529,mixed
821759.0,99.6951219512195,-2.677995,30.036657,mixed
821793.0,100.0,2.0580273,30.038023,mixed
821814.0,98.82498453927025,-5.6050177,30.038866,mixed
821869.0,94.99165275459099,-8.532041,30.041077,mixed
821882.0,99.60091220068415,3.8670268,30.0416,mixed
821903.0,99.25053533190578,-3.7960184,30.042442,mixed
821958.0,98.7603305785124,-6.723041,30.044653,mixed
822026.0,99.94450610432852,2.7490036,30.047384,mixed
822047.0,99.36708860759494,-4.9140415,30.04823,mixed
822102.0,99.51100244498778,-7.8410645,30.05044,mixed
822115.0,99.87212276214834,4.558003,30.05096,mixed
822136.0,99.29612870789342,-3.105042,30.051805,mixed
822191.0,98.98167006109979,-6.032065,30.054016,mixed
822246.0,93.87755102040816,-8.959087,30.056227,mixed
822259.0,99.67338051170387,3.43998,30.056747,mixed
822335.0,99.31176875430144,-7.150088,30.059803,mixed
822369.0,99.1277578245254,-2.4140656,30.061169,mixed
822403.0,99.8489425981873,2.3219566,30.062536,mixed
822424.0,99.25742574257426,-5.3410883,30.06338,mixed
822479.0,94.9820788530466,-8.268111,30.06559,mixed
822492.0,99.48863636363636,4.130956,30.066113,mixed
822513.0,99.12711402073104,-3.5320888,30.066956,mixed
822547.0,83.09008555611474,1.2039335,30.068323,mixed
822568.0,98.9501312335958,-6.4591117,30.069166,mixed
822636.0,99.9466097170315,3.012933,30.0719,mixed
822657.0,99.48453608247422,-4.650112,30.072744,mixed
822712.0,99.42652329749104,-7.5771346,30.074955,mixed
822725.0,99.93865030674847,4.821933,30.075478,mixed
822746.0,99.59819186338524,-2.8411124,30.07632,mixed
822801.0,99.00621118012423,-5.768135,30.078531,mixed
822856.0,93.19899244332494,-8.695158,30.080742,mixed
822869.0,99.94079336885731,3.7039094,30.081264,mixed
822890.0,99.0909090909091,-3.9591358,30.08211,mixed
822945.0,98.9913544668588,-6.8861585,30.08432,mixed
