gpi_ascat,percentage_match,lon,lat,soil_cat
820882.0,93.974175035868,-8.368923,30.001425,mixed
820895.0,99.37464468447982,4.030144,30.001947,mixed
820916.0,98.87339055793991,-3.632901,30.00279,mixed
820971.0,97.96320630749014,-6.5599236,30.005001,mixed
821039.0,99.94646680942184,2.912121,30.007732,mixed
821060.0,98.85452462772051,-4.750924,30.008575,mixed
821115.0,99.66499162479062,-7.677947,30.010784,mixed
821128.0,99.93868792152054,4.7211204,30.011307,mixed
821149.0,99.19638372677046,-2.9419246,30.01215,mixed
821183.0,100.0,1.7940978,30.013515,mixed
821204.0,97.52673796791444,-5.8689475,30.01436,mixed
821259.0,88.66057838660578,-8.79597,30.01657,mixed
821272.0,99.82185273159145,3.6030972,30.017092,mixed
821348.0,98.39650145772595,-6.9869704,30.020144,mixed
821382.0,98.59903381642512,-2.2509482,30.021511,mixed
821416.0,99.64859437751004,2.485074,30.022877,mixed
821437.0,98.86934673366834,-5.177971,30.02372,mixed
821492.0,98.72944693572497,-8.104994,30.025928,mixed
821505.0,99.25158318940703,4.2940736,30.026451,mixed
821560.0,98.04511278195488,1.3670509,30.028662,mixed
821581.0,98.42001316655694,-6.2959943,30.029505,mixed
821636.0,79.72602739726027,-9.223017,30.031715,mixed
821649.0,99.57333333333334,3.1760504,30.032238,mixed
821670.0,98.15455594002307,-4.4869947,30.033081,mixed
821725.0,98.82026370575988,-7.414017,30.03529,mixed
821759.0,99.64430894308943,-2.677995,30.036657,mixed
821793.0,100.0,2.0580273,30.038023,mixed
821814.0,97.40259740259741,-5.6050177,30.038866,mixed
821869.0,92.07011686143572,-8.532041,30.041077,mixed
821882.0,99.54389965792474,3.8670268,30.0416,mixed
821903.0,98.55460385438973,-3.7960184,30.042442,mixed
821958.0,98.62258953168045,-6.723041,30.044653,mixed
822026.0,99.55604883462819,2.7490036,30.047384,mixed
822047.0,98.79171461449943,-4.9140415,30.04823,mixed
822102.0,99.51100244498778,-7.8410645,30.05044,mixed
822115.0,99.87212276214834,4.558003,30.05096,mixed
822136.0,99.14529914529915,-3.105042,30.051805,mixed
822191.0,98.03122878479294,-6.032065,30.054016,mixed
822246.0,89.28571428571429,-8.959087,30.056227,mixed
822259.0,99.5100707675558,3.43998,30.056747,mixed
822335.0,97.93530626290433,-7.150088,30.059803,mixed
822369.0,98.46074910210365,-2.4140656,30.061169,mixed
822403.0,99.69788519637463,2.3219566,30.062536,mixed
822424.0,98.63861386138613,-5.3410883,30.06338,mixed
822479.0,91.68458781362007,-8.268111,30.06559,mixed
822492.0,99.14772727272727,4.130956,30.066113,mixed
822513.0,98.79978177850518,-3.5320888,30.066956,mixed
822547.0,61.701056869652746,1.2039335,30.068323,mixed
822568.0,98.29396325459318,-6.4591117,30.069166,mixed
822636.0,99.9466097170315,3.012933,30.0719,mixed
822657.0,98.62542955326461,-4.650112,30.072744,mixed
822712.0,98.78136200716845,-7.5771346,30.074955,mixed
822725.0,99.93865030674847,4.821933,30.075478,mixed
822746.0,99.4475138121547,-2.8411124,30.07632,mixed
822801.0,97.88819875776397,-5.768135,30.078531,mixed
822856.0,88.07724601175482,-8.695158,30.080742,mixed
822869.0,99.82238010657194,3.7039094,30.081264,mixed
822890.0,98.34224598930481,-3.9591358,30.08211,mixed
822945.0,98.12680115273776,-6.8861585,30.08432,mixed
822979.0,98.37197829304391,-2.150136,30.085688,mixed
823013.0,99.89468141126909,2.5858862,30.087053,mixed
823034.0,98.69646182495345,-5.077159,30.087898,mixed
823089.0,96.11069558713538,-8.004182,30.090109,mixed
823102.0,98.87005649717514,4.3948855,30.090631,mixed
823123.0,99.03173749327595,-3.2681594,30.091476,mixed
823157.0,99.7966446365023,1.467863,30.092842,mixed
823178.0,97.88219722038386,-6.195182,30.093687,mixed
823233.0,88.67647058823529,-9.122205,30.095898,mixed
823246.0,99.57333333333334,3.2768626,30.09642,mixed
823267.0,98.14169570267131,-4.3861823,30.097265,mixed
823322.0,98.01097393689986,-7.3132052,30.099476,mixed
823356.0,99.37920331091567,-2.577183,30.100843,mixed
823411.0,98.51760345892527,-5.5042057,30.103054,mixed
823466.0,88.84430176565009,-8.431229,30.105265,mixed
823479.0,99.71493728620297,3.9678388,30.105787,mixed
823500.0,98.60515021459227,-3.6952062,30.106632,mixed
823555.0,98.28382838283828,-6.622229,30.108845,mixed
823623.0,99.94475138121547,2.8498156,30.111578,mixed
823644.0,99.19816723940436,-4.8132296,30.112423,mixed
823699.0,97.28618421052632,-7.740252,30.114634,mixed
823712.0,99.93823347745521,4.6588154,30.115156,mixed
823733.0,99.14572864321607,-3.0042298,30.116001,mixed
823788.0,97.97707349966285,-5.9312525,30.118212,mixed
823822.0,98.91891891891892,-1.1952302,30.11958,mixed
823843.0,88.88888888888889,-8.858275,30.120424,mixed
823856.0,99.70536240424278,3.540792,30.120947,mixed
823877.0,98.09096013475576,-4.122253,30.121792,mixed
